Attribute,Value
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Basin
Revenue,1987.2
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Biorka
Revenue,3726
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Bombay Beach
Revenue,161
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Claremont
Revenue,2235.6
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Copake
Revenue,496.8
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Creelsboro
Revenue,1242
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Darling
Revenue,80.5
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Dorchester
Revenue,1987.2
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Elk Garden
Revenue,745.2
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Esopus
Revenue,201.25
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Great Neck
Revenue,3033.7
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Greenfield
Revenue,1355.85
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Greig
Revenue,537.05
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Greycliff
Revenue,1361.6
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Humansville
Revenue,40.25
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,La Bolt
Revenue,2027.45
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Lancaster
Revenue,864.8
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Linden
Revenue,1738.8
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Lompoc
Revenue,281.75
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,McCammon
Revenue,1490.4
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Orpha
Revenue,4020.4
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Panton
Revenue,576.15
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Pastura
Revenue,745.2
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Ravia
Revenue,2235.6
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Roberta Mill
Revenue,496.8
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Saxapahaw
Revenue,603.75
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Sea Island
Revenue,1113.2
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Shenorock
Revenue,2530
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Switz City
Revenue,1490.4
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Tolchester Beach
Revenue,113.85
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Wounded Knee
Revenue,328.9
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Computer Store
City,Wright City
Revenue,1775.6
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Arrowbear Lake
Revenue,73.6
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Brookville
Revenue,496.8
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Cañon
Revenue,281.75
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Cherokee
Revenue,1987.2
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Colebrook
Revenue,1987.2
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Cypress Quarters
Revenue,294.4
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Eagle Valley
Revenue,220.8
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,El Refugio
Revenue,73.6
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Ewen
Revenue,248.4
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Grantsburg
Revenue,5081.85
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,Huntington Woods
Revenue,73.6
Date,2018 Jan
Color,Black
Supplier Category,Clothing Supplier
Supplier Name,"Fabrikam, Inc."
Customer Category,Corporate
City,La Paz
Revenue,161
